news agency,title,link
Gulf News,Khao Suey: Dish that unites the Burmese and Pakistanis,https://gulfnews.com/food/khao-suey-to-khausa-to-yangon-via-karachi-1.1541422747664
The Diplomat,"January 06, 2022Questions of Security, Religion and Laws Emerge in Poll-Bound PunjabBy Tarushi AswaniRecent incidents of alleged ‘sacrilege’ in Sikh temples have stirred communal anger in the state.",https://thediplomat.com/2022/01/questions-of-security-religion-and-laws-emerge-in-poll-bound-punjab/
The Diplomat,"January 06, 2022Afghan Taliban Turn Blind Eye to the Tehreek-e-Taliban Pakistan",https://thediplomat.com/2022/01/afghan-taliban-turn-blind-eye-to-the-tehreek-e-taliban-pakistan/
Toronto Star,AsiaAfghan Taliban turn blind eye to Pakistani militants13 hrs ago,https://www.thestar.com/news/world/asia/2022/01/06/afghan-taliban-turn-blind-eye-to-pakistani-militants.html
NY Times,TimesVideoHeavy Snow Traps Thousands at Popular Pakistan Tourist SiteAt least 21 people died in Pakistan after heavy snow left them stranded in their cars on roads leading to a popular tourist town just outside Islamabad.By Reuters,https://www.nytimes.com/video/world/asia/100000008151581/pakistan-murree-snow-death.html
NY Times,"Heavy Snow Kills 21 at Popular Tourist Site in PakistanStranded in their cars on snow-covered roads, some in the mountainside town of Murree froze to death and others died from carbon monoxide poisoning.By Salman Masood",https://www.nytimes.com/2022/01/08/world/asia/pakistan-snow-kills-21-murree-hill-station.html
WashPost,"Snowstorm kills at least 22, including 10 children, on Pakistani highway after thousands are trapped in cars",https://www.washingtonpost.com/world/2022/01/08/pakistan-snow-dead-muree-tourists/
BBC,Survivor tells of Pakistan snowstorm horror,https://www.bbc.com/news/world-asia-59927266
BBC,Deadly snow traps hundreds of drivers in Pakistan,https://www.bbc.com/news/world-asia-59920215
BBC,Heavy snow leaves many dead in northern Pakistan,https://www.bbc.com/news/world-asia-59924477
CBC,22 dead after snowfall traps people in cold cars in Pakistan resort townWorld |January 8,https://www.cbc.ca/news/world/pakistan-snow-cold-resort-town-fatalities-1.6308458
Globe & Mail1,Snow cleared at Pakistani resort after 22 people die in snowstorm     January 9   Updated,https://www.theglobeandmail.com/world/article-snow-cleared-at-pakistani-resort-after-22-people-die-in-snowstorm/
Aljazeera,Pak­istan asks IMF to de­lay meet­ing amid fail­ure to cut spend­ing,https://www.aljazeera.com/economy/2022/1/10/pakistan-asks-imf-to-delay-meeting-amid-failure-to-cut-spending
Aljazeera,Pak­istan sets up com­mit­tee to in­ves­ti­gate Mur­ree tourists deaths,https://www.aljazeera.com/news/2022/1/10/pakistan-sets-up-committee-to-investigate-murree-deaths
Aljazeera,Snow-trapped tourists res­cued in Pak­istan,https://www.aljazeera.com/news/2022/1/9/snow-trapped-tourists-rescued-in-pakistan
Gulf News,Etihad launches special fare for Islamabad flights,https://gulfnews.com/business/aviation/uae-travel-etihad-launches-global-sale-for-select-cities-1.84875071
Gulf News,Pakistan forms committee to probe deaths in Murree,https://gulfnews.com/world/asia/pakistan/pakistan-forms-committee-to-investigate-deaths-in-murree-1.84876159
Gulf News,Pakistan’s Humayun Saeed to star on ‘The Crown’,https://gulfnews.com/entertainment/pakistani-cinema/pakistani-star-humayun-saeed-cast-on-the-crown-as-princess-dianas-companion-dr-hasnat-khan-1.84869337
Gulf News,Recipe for Hyderabadi dum handi ka gosht,https://gulfnews.com/food/cooking-cuisines/recipe-for-hyderabadi-dum-handi-ka-gosht-or-slow-cooked-mutton-gravy-1.1637135263399
Gulf News,Pakistani stars Sana Javed and Umair Jaswal on shopping,https://gulfnews.com/videos/news/pakistani-stars-sana-javed-and-umair-jaswal-on-shopping-in-dubai-finding-love-and-life-after-covid-19-1.1641820333260
Toronto Star,AsiaCold kills 22 stuck in cars in heavy snow at Pakistan resortInterior Minister Sheikh Rashid Ahmed said thousands of vehicles had been pulled from the snow but more than a thousand were still stuck in the...2 days ago,https://www.thestar.com/news/world/asia/2022/01/08/cold-kills-16-stuck-in-cars-in-heavy-snow-at-pakistan-resort.html
Toronto Star,AsiaPakistani police say they killed 6 militants in southwest1 day ago,https://www.thestar.com/news/world/asia/2022/01/09/pakistani-police-say-they-killed-6-militants-in-southwest.html
Toronto Star,AsiaSnow cleared after deaths of 22 people at Pakistani resort1 day ago,https://www.thestar.com/news/world/asia/2022/01/09/snow-cleared-after-deaths-of-22-people-at-pakistani-resort.html
WashPost1,Why 2022 is shaping up to be a nightmare year for Imran Khan,https://www.washingtonpost.com/opinions/2022/01/11/why-2022-is-shaping-up-be-nightmare-year-imran-khan/
WashPost1,Why 2022 is shaping up to be a nightmare year for Imran Khan,https://www.washingtonpost.com/opinions/2022/01/11/why-2022-is-shaping-up-be-nightmare-year-imran-khan/?itid=mr_global opinions_5
